Language	ISO639_3	WALScode	Macroarea_origin	Glottocode	Family	Genus	Total_users	L2Prop	Contact	SO_Form	SO_entropy	Verb
Nyanja (Chichewa)	nya	cic	Africa	nyan1308	Niger-Congo	Bantu	14380700	0.042644605	No	Same	0.648185111	Middle
Papiamentu	pap	pap	Americas	papi1253	Other	Creoles & Pidgins	343100	0.058292043	Yes	Same	0.811278124	Middle
Persian	pes	prs	Eurasia	west2369	Indo-European	Iranian	77377510	0.271396689	No	Different	0.177076712	Final
Pijin	pis	NA	Papunesia	piji1239	Other	Creoles & Pidgins	324000	0.9259259	Yes	Same	0.129233775	Middle
Polish	pol	pol	Eurasia	poli1260	Indo-European	Slavic	40629030	0.93373494	No	Different	0.582864616	Middle
Portuguese 	por	por	Eurasia	port1283	Indo-European	Romance	257660250	0.09790412	No	Same	0.096772139	Middle
Romanian 	ron	rom	Eurasia	roma1327	Indo-European	Romance	24054420	0.138848787	No	Different	0.145295445	Middle
Russian 	rus	rus	Eurasia	russ1263	Indo-European	Slavic	258177060	0.403132525	No	Different	0.580878367	Middle
Sango	sag	san	Africa	sang1328	Niger-Congo	Ubangi	5217000	0.8817328	No	Same	0.325551713	Middle
Serbian 	srp	NA	Eurasia	serb1264	Indo-European	Slavic	10300476	0.523553357	No	Different	0.263265396	Middle
Shona 	sna	shn	Africa	shon1251	Niger-Congo	Bantu	10865590	0.322117805	No	Same	0.551669992	Middle
Sindhi 	snd	sdh	Eurasia	sind1272	Indo-European	Indic	33217150	0.387469129	No	Same	0.64072611	Final
Slovak	slk	svk	Eurasia	slov1269	Indo-European	Slavic	7251080	0.282027	No	Different	0.637387499	Middle
Slovenian	slv	slo	Eurasia	slov1268	Indo-European	Slavic	2229450	0.08253157	No	Different	0.68703321	Middle
Somali	som	som	Africa	soma1255	Afro-Asiatic	Lowland East Cushitic	21930230	0.004359279	No	Same	0.568362534	Final
Spanish 	spa	spa	Eurasia	stan1288	Indo-European	Romance	548333810	0.134274303	No	Different	0.188829749	Middle
Sranan Tongo 	srn	sra	Americas	sran1240	Other	Creoles & Pidgins	669600	0.224014337	Yes	Same	0.529360865	Middle
Suau	swp	NA	Papunesia	suau1242	Austronesian	Oceanic	20810	0.6246997	No	Same	0.996665728	Final
Swahili, Tanzania	swh	swa	Africa	swah1253	Niger-Congo	Bantoid	71416500	0.775171004	No	Same	0.788513161	Middle
Swati	ssw	swt	Africa	swat1243	Niger-Congo	Bantu	4700000	0.5106383	No	Same	0.228538144	Middle
Swedish	swe	swe	Eurasia	swed1254	Indo-European	Germanic	13074200	0.2409325	No	Same	0.197520731	Middle
Tagalog(including Filipino)	tgl	tag	Papunesia	taga1270	Austronesian	Greater Central Philippine	82312160	0.551869811	No	Same	0.7343713	Initial
Tamil	tam	tml	Eurasia	tami1289	Dravidian	Dravidian	86430500	0.09255992	No	Different	0.963167245	Final
Telugu	tel	tel	Eurasia	telu1262	Dravidian	Dravidian	95730900	0.1357973	No	Different	0.605186577	Final
Temne 	tem	tne	Africa	timn1235	Niger-Congo	Northern Mel	2070000	0.115942029	No	Same	0.398124879	Middle
Tigrinya 	tir	tig	Africa	tigr1271	Afro-Asiatic	Semitic	10004940	0.024742012	No	Different	0.930320525	Final
Tok Pisin (Melanesian English)	tpi	tpi	Papunesia	tokp1240	Other	Creoles & Pidgins	4125740	0.969523043	Yes	Same	0.423680572	Middle
Tsonga	tso	tsn	Africa	tson1249	Niger-Congo	Bantu	10003500	0.339881	No	Same	0.353359335	Middle
Tswana 	tsn	tsw	Africa	tswa1253	Niger-Congo	Bantu	13745730	0.571086439	No	Same	0.398459274	Middle
Tucano	tuo	tuc	Americas	tuca1252	Tucanoan	Tucanoan	11620	0.6217765	No	Different	0.625262405	Final
Turkish	tur	tur	Eurasia	nuc1301	Altaic	Turkic	88098480	0.06663339	No	Different	0.320417188	Final
Ukrainian	ukr	urk	Eurasia	ukra1253	Indo-European	Slavic	33230530	0.1745383	No	Different	0.583520852	Middle
Urdu	urd	urd	Eurasia	urdu1245	Indo-European	Indic	231295440	0.6962775	No	Different	0.396144055	Final
Venda	ven	ven	Africa	vend1245	Niger-Congo	Bantu	3001400	0.5664023	No	Same	0.543564443	Middle
Vietnamese 	vie	vie	Eurasia	viet1252	Austro-Asiatic	Viet-Muong	85342190	0.008729563	No	Same	0.235193382	Middle
Welsh	cym	wel	Eurasia	wels1247	Indo-European	Celtic	573050	0.460884354	No	Same	0	Initial
Wik-Mungkan	wim	wmu	Papunesia	wikm1247	Pama-Nyungan	Northern Pama-Nyungan	1650	0.7272727	No	Different	0.485460761	Final
Wolaytta (Welamo)	wal	wly	Africa	wola1242	Afro-Asiatic	Ta-Ne-Omotic	2469800	0.036359219	No	Different	0.632130278	Final
Wolof	wol	wlf	Africa	nucl1347	Niger-Congo	Wolof	12266290	0.516863697	No	Different	0.074149484	Middle
Xhosa	xho	xho	Africa	xhos1239	Niger-Congo	Bantu	19216300	0.5724307	No	Same	0.783776947	Middle
Yoruba	yor	yor	Africa	yoru1245	Niger-Congo	Defoid	45612560	0.043847572	No	Same	0.447907859	Middle
Zulu 	zul	zul	Africa	zulu1248	Niger-Congo	Bantoid	27804600	0.564654769	No	Same	0.503258335	Middle
